iter	Passed	Remaining
0	146	14531
1	163	8029
2	179	5800
3	194	4679
4	208	3958
5	223	3494
6	237	3159
7	252	2907
8	265	2687
9	279	2517
10	293	2372
11	305	2242
12	321	2154
13	337	2071
14	352	1995
15	367	1927
16	387	1892
17	402	1831
18	416	1777
19	432	1731
20	448	1688
21	464	1646
22	480	1607
23	496	1572
24	511	1534
25	528	1505
26	544	1473
27	564	1450
28	580	1420
29	595	1388
30	616	1372
31	644	1370
32	660	1340
33	676	1313
34	693	1287
35	708	1260
36	724	1233
37	739	1206
38	754	1180
39	768	1152
40	785	1130
41	795	1098
42	808	1072
43	826	1051
44	842	1029
45	856	1005
46	872	984
47	888	962
48	903	940
49	918	918
50	938	901
51	957	883
52	973	863
53	988	842
54	1004	821
55	1021	802
56	1038	783
57	1051	761
58	1069	743
59	1083	722
60	1100	703
61	1126	690
62	1141	670
63	1156	650
64	1171	630
65	1185	610
66	1202	592
67	1222	575
68	1238	556
69	1250	535
70	1266	517
71	1279	497
72	1292	477
73	1306	459
74	1320	440
75	1336	422
76	1353	404
77	1368	385
78	1383	367
79	1398	349
80	1413	331
81	1428	313
82	1442	295
83	1457	277
84	1477	260
85	1491	242
86	1508	225
87	1520	207
88	1534	189
89	1549	172
90	1564	154
91	1577	137
92	1589	119
93	1604	102
94	1619	85
95	1633	68
96	1649	51
97	1663	33
98	1681	16
99	1695	0
