iter	Logloss
0	0.5954603263
1	0.5213484863
2	0.474800009
3	0.4335177388
4	0.4060512709
5	0.383358386
6	0.3698656737
7	0.3558928412
8	0.3471162171
9	0.3378236605
10	0.331461419
11	0.3277723205
12	0.3239571926
13	0.3201486843
14	0.316313167
15	0.3143979371
16	0.3115836524
17	0.309478406
18	0.3073159159
19	0.3055394552
20	0.3034062523
21	0.3017806367
22	0.3002404923
23	0.299081349
24	0.2976715014
25	0.296622811
26	0.2954643231
27	0.2946098657
28	0.2936219324
29	0.2927450445
30	0.2922371
31	0.2917024371
32	0.2906361083
33	0.2901579515
34	0.2896607288
35	0.2889207601
36	0.2884057335
37	0.2876171121
38	0.2869734884
39	0.2863026321
40	0.2857472105
41	0.2856707311
42	0.2852053826
43	0.2847940211
44	0.2840769386
45	0.2836858639
46	0.2832364849
47	0.2829022354
48	0.2825593366
49	0.281521367
50	0.2811375273
51	0.2804604586
52	0.2801770029
53	0.2797170688
54	0.2791910047
55	0.2787889578
56	0.2784178133
57	0.2781168383
58	0.2777990969
59	0.2772935046
60	0.277077133
61	0.2766236764
62	0.2762358971
63	0.2752930634
64	0.2747960749
65	0.2743838614
66	0.2737151332
67	0.2733415816
68	0.2731087132
69	0.2729708886
70	0.2726091566
71	0.2723978787
72	0.2720006554
73	0.2717852073
74	0.271557127
75	0.2708359392
76	0.2705889633
77	0.2704339161
78	0.2699109808
79	0.2696393729
80	0.2693886274
81	0.268855521
82	0.2685678368
83	0.2680764317
84	0.2677678301
85	0.2675807141
86	0.2671435759
87	0.2669292431
88	0.2668048658
89	0.266548082
90	0.2662426292
91	0.2659612102
92	0.2657152188
93	0.2653120193
94	0.2652118462
95	0.2650408109
96	0.2648322309
97	0.2644218077
98	0.264208865
99	0.2637271284
