iter	Passed	Remaining
0	147	14644
1	158	7787
2	169	5496
3	181	4359
4	192	3662
5	204	3205
6	216	2872
7	228	2629
8	240	2435
9	252	2275
10	266	2155
11	279	2046
12	292	1954
13	305	1873
14	318	1803
15	331	1738
16	344	1681
17	358	1632
18	371	1585
19	385	1541
20	400	1507
21	415	1472
22	431	1443
23	445	1411
24	460	1382
25	475	1352
26	488	1321
27	502	1293
28	516	1265
29	532	1242
30	547	1217
31	561	1193
32	575	1167
33	588	1143
34	602	1119
35	620	1102
36	633	1079
37	648	1057
38	663	1038
39	680	1021
40	694	999
41	703	970
42	716	950
43	730	929
44	745	911
45	758	890
46	773	872
47	787	852
48	801	834
49	815	815
50	830	797
51	844	779
52	859	761
53	873	744
54	888	727
55	902	709
56	915	690
57	929	672
58	942	655
59	956	637
60	969	620
61	983	602
62	997	585
63	1010	568
64	1024	551
65	1038	534
66	1051	518
67	1064	501
68	1078	484
69	1088	466
70	1101	449
71	1114	433
72	1128	417
73	1141	401
74	1156	385
75	1169	369
76	1182	353
77	1195	337
78	1208	321
79	1222	305
80	1236	289
81	1249	274
82	1263	258
83	1277	243
84	1291	227
85	1304	212
86	1318	197
87	1332	181
88	1346	166
89	1360	151
90	1375	136
91	1388	120
92	1402	105
93	1416	90
94	1428	75
95	1444	60
96	1458	45
97	1472	30
98	1486	15
99	1500	0
